corpus,label
johnsd rpi edu dan johnson newsgroup soc religion christian subject accept jeesu heart messag id apr atho rutger edu date apr gmt sender hedrick atho rutger edu repli johnsd rpi edu organ sun microsystem line approv christian arami rutger edu articl atho rutger edu jayn mmalt guild org jayn kulikauska write gsu uxa ecn bgu edu eric mola write firstli atheist post immatur flame start rather express opinion intend audienc delet anim need sleep food reproduc die meant defend eric mola find somewhat annoy someon pop alt atheism tell us usual atheist belief certainli see christian might annoy like point thing glad atheist seem tragic peopl choos meaningless exist mean god mean atheist point view want mean life get go get make free gift mean never quit understood god give life mean actual say exist x give purpos care accept thing digress terribl go live one fear death life would trueli miser exist doubt eric endur life enjoy live like purposeful live get someth done one endeavour make otherwis would say terribl feel sorri eric yet attempt share joy life would consid evid infecti natur christian probabl true remeb almost certainli see particular joy illus want mayb bad christian free human person think love choos creat atheist free human person think love choos creat live forev god ah begin diverg live forev anyon think either welcom opinion matter christ kind drug tend agre opinion unlik drug religion normal part human societi think outliv useful evid quit ordinari normal thing prove lethal human yet drug replac christ empti spot god shape hole heart must someth eas pain heard claim quit time anybodi know first came god shape hole busi effect substanc abus recoveri program involv meet peopl spiritu need might want provid evid next time make claim like thank eric post help appreci much god bless hope someday joy fill abund life know eric think wise assum less joy fill abund life hold certain belief dan johnson god said jeez dull dull genesi opinion probabl show know,soc.religion.christian
phil bowermast newsgroup soc religion christian subject arrog christian messag id apr atho rutger edu date apr gmt sender hedrick atho rutger edu organ u west advanc technolog line approv christian arami rutger edu articl apr atho rutger edu dleonar andi bgsu edu pixi wrote articl apr atho rutger edu vbv r eeap cwru edu virgilio dean b velasco jr wrote affirm absolut scriptur arrog moralist believ god truth reveal truth word therefor hold preciou strateg import absolut pardon humbl atheist exactli differ hold reveal truth blind faith basi e regardless evid may find contrari absolut truth fulli expect peopl believ arrog would bother check good dictioanri thesauru think find arrog offens exhibit presum real superior paraphras webster arrognac pride haughti person believ absolut truth even blindli whatev mean without obnoxi person humbl author question defi theist repli athiest quit arrog arrog believ relat believ present other overwhelm experi christian arrog apologoz behalf offfend experi least forum like usenet see good mix peopl arrog christian athiest seem occur equal number phil hey talk phone compani phone compani opinion kind stuff,soc.religion.christian
dlecoint garnet acn fsu edu dariu lecoint newsgroup soc religion christian subject sabbath admiss messag id apr atho rutger edu date apr gmt sender hedrick atho rutger edu organ florida state univers line approv christian arami rutger edu someon sent faq e mail post respons enforc inclus limit faq reader probabl seen clh christ warn anyon break one least command teach other call least kingdom heaven matt faq full error must respond hope whoever maintain remov partisan theolog brother sister new faith examin decalogu close notic fourth command pretti specif keep sabbath day state th day saturday sabbath christian religion keep atleast go church sunday frequent ask question everi time aris caus month debat let see answer directli basic law given mose part specif covenan jew us jew part coven argument earli christian histori whether mosaic law appli gentil becam christian see account debat act main question circumcis keep sabbath would part well apostl conclud need becom jew order becom christian therefor rule circumcis appli us law known man reveal mount sinai rom note law transgress sin exist sinai eden sabbath kept reveal sinai ex problem first coven law promis undergird god want perform live peopl ignor year slaveri promis ever say new coven base better promis heb rather away law god promis put law mind write heart heb includ sabbath act select inclus sabbath import jew circumcis attempt made away sabbath reaction would even strident record act confus weekli sabbath decalogu ceremoni sabbath could occur time week part law ceremoni ad transgress moral law gal israel stand god peopl time god graft gentil roma say adopt glori coven give law servic god promis belong israelit explan paul make clear born israel enough israel israel v gal say ye christ ye abraham seed heir accord promis christian abraham seed jew israelit physic criterion spiritu joint heir jesu base promis god made peopl israelit christian agre ot law appli us part specif covenan jew also expect see similar thing god expect jew thing expect us god howev sever way deal day common approach separ ot command moral ceremoni ceremoni command appli jew part specif mosaic coven thinsg like kosher law circumcis moral law appli everyon command part moral law except command sabbath believ peopl take approach would say specif requir worship sabbath part ceremoni law gener oblig worship regularli part gener moral law thu christian free choos specif time worship peopl would probabl agre wrong sabbath command ceremoni part law predat ceremoni law free choos time worship even follow day worship origin pagan sun worship would rather give day god bless sanctifi hallow exchang one church leader agre biblic foundat see sabbath admiss soc religion christian bibl studi radic approach gener connect john calvin reform tradit say law whole longer bind instead entir grace behavior guid sole love portion ot law still use guidanc properli speak legal bind us practic peopl take posit believ safe leav christian without moral guidannc may longer law sinner safe us go situat principl guid us good self justif safe thu christian moral guidanc thing like jesu teach paul advic etc may precis law serv much function larg content moral law previou analysi calvin would deni fix legal respons worship specif day would say given human weak disciplin regular worship import care calvin theologian say guid god say law mean keep law section law troubl sabbath command one god thought import enough say rememb studi word deepli note messag longer condemn law freed grace god cop pull speed court ask merci judg throw book give grace walk court say go speed grace grace drive within speed limit paul add rom di make void law faith god forbid yea establish law wherefor law holi command holi good rom analys specif day issu matter tradit worship sunday memori christ resurrect debat act show earli christian worship common analysi show jewish christian continu go jewish servic sabbath specif christian servic necessarili held act show worship first day sunday cor also impli gather day group continu believ christian worship sabbath saturday best known seventh day adventist jehovah wit argu act regular worship servic special meet see paul cor explicitli say regular worship servic prefer implic fact care studi act show meet saturday night sunday morn paul go worship servic set long journey foot asso icor way equat lay store go worship servic clear issu contest one paul time see rom paul advic care judg issu like one person see specif day mandat god anoth observ specif day honor lord believ worship free restrict also honor lord believ sabbath still mandat argu paul refer sabbath worship note howev col say someth similar briefer explicitli mention sabbath wrong sabbath day ceremoni law sabbath day moral law differ among christian use word sabbath origin term refer th day jewish day worship mani christian use refer sunday day christian worship larg appli th whatev coupl differ number scheme command reform tradit distinguish sabbath observ mandat jew lord day free christian worship refer find nt rev also differ law regard day mani christian support blue law secular law church law set asid day caus peopl spend worship radic anti legal approach see regul return jewish sabbath appropri free christian worship lord day would prefer twist turn reli differ argument conflict rather obey simpl request god love enough die jesu die law could chang bother die order meet demand broken law need chang law penalti law break mean law immut sin follow demand ceremoni law alway sin make fals god violat god name break sabbath steal kill etc except disagre opinion weight place next word god dariu clear much need said faq think paul comment esteem one day anoth rom probabl need said accept dariu honor lord wish might equal accept esteem day alik similarli best honor lord howev like clear think unambigu proof regular christian worship first day indic respons passag cite difficulti passag actual someth els look like talk nnregular christian meet neither explicitli say gather everi sunday worship get variou piec inform noth aim answer question act describ christian particip jewish templ worship christian communion servic home obvious templ worship sabbath act exampl christian particip unfortun tell us day christian met hous act despit dariu confus describ act occur sunday see reason impos modern definit day start biblic text clear meant word impli normal meet say gather see paul gather break bread paul talk upcom travel explicit enough realli convinc similarli cor say first day set asid money paul collect want believ gather special home disprov obviou time congreg take offer would normal gather worship expect home would reason mention specif day think obviou read first day everi week simpli mean everi time gather worship think reason implic clear statement nt author assum reader knew christian worship clh,soc.religion.christian
gt b prism gatech edu boundari newsgroup soc religion christian subject certainti arrog messag id apr geneva rutger edu date apr gmt sender hedrick geneva rutger edu organ georgia institut technolog line approv christian arami rutger edu repli post kilroy gboro rowan edu aka nanci sweetheart human brain infest sin trust limit circumst would beg differ properli form conscienc trust virtual time sure though someth materialist human brain mass tissu possess anyth trustworthi observ would probabl valid discuss mind anim human half anim half spiritu moment stop speak peopl start interpret possibl error appear mean liter record elabor word think tran con substati say interpret passag use brain think reason draw conclus know brain perfect think often lead us wrong someth us direct experi hit purpos church necess infal interpret divin revel without church christian would noth bunch littl divis sect unless infal thing certain extent doctrin reli fallibl human think cannot certain argument regard certainti observ conclus necessarili substanti experi remind theoret physicist said never certain measur sensor interfer field tri measur experiment physicist repli although measur never made absolut certainti abl determin certainti measur made knowledg often suffici render measur use enough allow evid true condit field observ therefor although mind finit suscept error compet arriv induct insight give confid abil distinguish true true even area subject experiment method darren f provin kilroy gboro rowan edu substanti number talk religion misc reader read wittgenstein post would disappear understood wittgenstein would disappear michael l siemon quot seem littl arrog think boundari tenei que pensar que yo haya venido traer la paz la tierra venido traer la paz sino la guerra mateo vulgata latina,soc.religion.christian
atterlep vela ac oakland edu cardin ximenez newsgroup soc religion christian subject arrog christian messag id apr atho rutger edu date apr gmt sender hedrick atho rutger edu organ nation associ disorgan line approv christian arami rutger edu mhsu lonestar utsa edu melinda hsu write like share thought topic arrog christian look forward respons encount christian find dismay belief faith total truth accord belief come bibl bibl word god god truth thu know truth stanc make difficult discuss faith hesit christian see way way truth see faith aris will choic believ particular way choic part faith part reason seem choic sort mystifi christian might respond start parabl christian woman hire carpent build birdhous come begin talk religion believ understand god ask ye repli build birdhous think melinda complain basi christian belief howev tendenc among christian say answer god gave simpli case believ bibl inerr howev human interpret bibl necessarili error human imperfect rememb make mistak faith human imperfect understand mind god claim mani peopl exist bibl allow us determin answer question claim human fulli understand god hubri,soc.religion.christian
jsledd ssdc sa upenn edu jame sledd newsgroup soc religion christian subject proof resurect messag id apr atho rutger edu date apr gmt sender hedrick atho rutger edu organ social scienc comput line approv christian arami rutger edu minor problem articl post proof christ resurrect first scriptur quotat sort reason beleiv justifi beleif vain might well beleiv quotat peopl beleiv peopl would tri justifi posit second logic proof quot text xx yfn ysu edu famili magazin sysop subject wit proof christ resurrect date apr gmt much delet nearli centuri bodi ever produc refut jesu assert would inde rise dead probabl abl perpetr hoax success upon entir world nearli centuri astronom neg end quot text period time elaps event grow larger increas odd hoax would discov fact longer hoax perpetu stronger becom final proof resurrect christ except spirit communion father matter faith belief without logic proof inced one largest stumbl block ration western man includ hope taken spirit intend reject resurrect occur beleiv want point weak logic proof,soc.religion.christian
mayn ds scri fsu edu bill mayn newsgroup soc religion christian subject ancient book messag id apr atho rutger edu date apr gmt sender hedrick atho rutger edu organ supercomput comput research institut line approv christian arami rutger edu articl apr atho rutger edu miner kuhub cc ukan edu write former atheist convert argument excel question anxiou see case doubt mediev period esp th cent aquina flourish argument use tool everyon knew rule today count peopl know even basic logic see rhetor good argument often indistinguish poor one last sentenc iron sinc mani reader soc religion christian seem embarrass apologist josh mcdowel c lewi also express rather odd sens histori make think mass aquina day mostli illiter knew rhetor logic peopl today write period seem elev consid cream crop speak could read write everyon mediev period knew rule matter uncrit accept told bill mayn may unfair lewi promin fallaci attribut liar lunat lord quot mani christian logic fallaci origin context clh,soc.religion.christian
tcsteven iaserv b ingr com todd steven newsgroup soc religion christian subject rebuild templ anybodi messag id apr atho rutger edu date apr gmt sender hedrick atho rutger edu organ ingr line approv christian arami rutger edu chuck petch write appear noth stand way rebuild resum sacrific scriptur indic happen last day although isra govern give permiss start think hand god hold project readi let happen brother sister time hand redempt draw near look scriptur levit priesthood resum jew legitim prove levit bloodlin todd steven tcsteven iaserv b ingr com,soc.religion.christian
jonh david wheaton edu jonathan hayward newsgroup soc religion christian subject pantheism environment messag id apr atho rutger edu date apr gmt sender hedrick atho rutger edu organ wheaton colleg il line approv christian arami rutger edu articl apr atho rutger edu cleveland freenet edu gari v cavano write new group mayb cover alreadi anybodi see current emphasi environ turn unintent cours pantheism ye adamantli environmentalist use styrofoam tabl servic pleas keep mind read post wish attack environment half truth least danger complet lie complet lie rare readili accept half truth lie subtli hidden power offer one masquerad angel light satan peopl loosen grip treat earth someth god intric handiwork someth health futur gener base treat respect think go happili leav one error reject style push peopl opposit error therefor earth god intric handiwork rubbish god mother earth one primarili love serv see two facet respons care environ treat proper respect god intric handiwork health futur gener show facet one disregard thing constitut apostl paul call becom thing men possibl mean might save say forget environ got import thing spend time put foot mouth manner destroy credibl express thing import show ultim entiti creatur creator show beauti glori point greater beauti glori show ultim tapestri one mani cord woven infinit tapestri god give mountain greatest jonathan hayward climb love jonathan hayward wheaton edu strength climb corinthian jhayward imsa edu,soc.religion.christian
bluelobst cmu edu david hunt newsgroup soc religion christian subject convers messag id apr atho rutger edu date apr gmt sender hedrick atho rutger edu organ carnegi mellon pittsburgh pa line approv christian arami rutger edu apr environment pagan user michael covington aisun write would like see christian devot bit less effort bash pagan figur present gospel pagan christ answer pagan lot right question unlik materialist deni need spiritu us alreadi answer question without turn christian case religion whay right presum lectur believ david hunt,soc.religion.christian
